S. No,State/UT,District,Coordinates,A.Murder (Sec.302 IPC),A. Culpable Homicide not amounting to Murder (Sec.304 IPC),A. Causing Death by Negligence,A. Hurt,A. Assault on Women with Intent to Outrage her Modesty,A. Kidnapping and Abduction,B. Offences against State,C. Rioting (Sec.1470151 IPC),D. Theft (Section 379 IPC),D. Burglary (Sec.454 to 460 r/w Sec.380 IPC),D. Dacoity,D. Others,E. Counterfeiting,"E. Forgery, Cheating & Fraud",E. Offences Relating to Documents & Property Marks (Total),F. Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),F. Disobedience to order duly promulgated by Public Servant (Sec.188),F. Harbouring an Offender (Sec.212/216/216A IPC),F. Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),F. Rash Driving on Public way,F. Others,F. Miscellaneous,Other IPC Crimes,Total Cognizable IPC crimes
329,Karnataka,Kalaburgi,"16.2500° N, 75.8333° E",41,2,898,1118,248,1144,0,805,738,196,12,487,2,50,24,0,3,0,0,994,145,645,68,2472
330,Karnataka,Hassan,"13.3333° N, 75.0000° E",52,3,1425,2678,454,2105,0,394,728,240,90,566,0,228,114,2,4,0,1,2784,215,1614,526,4830
331,Karnataka,Haveri,"14.2500° N, 75.0000° E",23,5,748,754,126,775,0,837,500,202,28,373,0,144,72,11,0,0,0,1070,75,621,151,2187
332,Karnataka,Hubballi Dharwad City,"15.0000° N, 75.0000° E",14,1,391,607,112,651,0,220,628,301,55,549,4,201,101,0,7,0,0,646,109,439,226,1896
333,Karnataka,K.G.F.,"13.1667° N, 76.8333° E",15,0,140,387,38,289,0,131,150,68,13,126,0,54,23,0,46,0,0,140,45,161,8,604
334,Karnataka,Kodagu,"11.8333° N, 75.3333° E",19,1,243,921,86,676,3,43,214,116,14,196,0,86,43,0,1,0,0,644,92,415,142,1347
335,Karnataka,Kolar,"13.2500° N, 77.6667° E",28,2,577,1030,172,902,0,460,510,160,44,386,0,164,81,0,11,0,0,768,111,506,73,1954
336,Karnataka,Koppal,"15.0000° N, 75.8333° E",14,1,734,439,166,673,0,287,428,174,22,340,0,77,38,0,2,0,0,748,129,505,218,1759
337,Karnataka,Mandya,"12.5000° N, 76.5000° E",54,4,1252,2765,639,2376,0,267,896,340,64,699,0,232,116,0,2,0,0,2650,244,1571,427,4865
338,Karnataka,Mangaluru City,"12.9167° N, 74.8333° E",12,2,457,537,129,599,6,97,362,136,75,347,2,264,123,0,0,0,0,1348,131,805,538,2337
